0	-1.000	289.840	-1.000	-1.000	-1.000	-1.000	110736024695.249	179.101
1	-1.000	362.880	-1.000	-1.000	-1.000	-1.000	110736024887.099	283.121
2	-1.000	294.260	-1.000	-1.000	-1.000	-1.000	110736025507.347	166.679
3	-1.000	228.400	-1.000	-1.000	-1.000	-1.000	110736025337.802	80.723
4	-1.000	332.440	-1.000	-1.000	-1.000	-1.000	110736025254.835	181.464
5	-1.000	265.840	-1.000	-1.000	-1.000	-1.000	110736024223.655	156.274
6	-1.000	268.520	-1.000	-1.000	-1.000	-1.000	110736024912.383	130.313
7	-1.000	277.600	-1.000	-1.000	-1.000	-1.000	110736024779.623	152.993
8	-1.000	270.960	-1.000	-1.000	-1.000	-1.000	110736024624.291	121.910
9	-1.000	279.400	-1.000	-1.000	-1.000	-1.000	110736024500.293	154.771
10	-1.000	256.360	-1.000	-1.000	-1.000	-1.000	110736024343.807	114.956
11	-1.000	244.480	-1.000	-1.000	-1.000	-1.000	110736024226.554	96.004
12	-1.000	240.620	-1.000	-1.000	-1.000	-1.000	110736024128.645	118.289
13	-1.000	293.760	-1.000	-1.000	-1.000	-1.000	110736024007.719	166.011
14	-1.000	227.940	-1.000	-1.000	-1.000	-1.000	110736023839.105	124.057
15	-1.000	313.320	-1.000	-1.000	-1.000	-1.000	110736023712.275	277.831
16	-1.000	321.960	-1.000	-1.000	-1.000	-1.000	110736023431.529	201.526
17	-1.000	261.460	-1.000	-1.000	-1.000	-1.000	110736023228.007	70.341
18	-1.000	305.820	-1.000	-1.000	-1.000	-1.000	110736023155.574	162.976
19	-1.000	234.160	-1.000	-1.000	-1.000	-1.000	110736022990.610	133.787
20	-1.000	349.280	-1.000	-1.000	-1.000	-1.000	110736022853.025	245.051
21	-1.000	320.900	-1.000	-1.000	-1.000	-1.000	110736022605.063	183.218
22	-1.000	281.440	-1.000	-1.000	-1.000	-1.000	110736022285.134	148.961
23	-1.000	311.500	-1.000	-1.000	-1.000	-1.000	110736021768.048	181.220
24	-1.000	258.880	-1.000	-1.000	-1.000	-1.000	110736021361.051	118.475
25	-1.000	277.220	-1.000	-1.000	-1.000	-1.000	110736021240.892	109.008
26	-1.000	271.400	-1.000	-1.000	-1.000	-1.000	110736021813.594	117.320
27	-1.000	267.500	-1.000	-1.000	-1.000	-1.000	110736021033.438	101.143
28	-1.000	288.140	-1.000	-1.000	-1.000	-1.000	110736021149.675	130.533
29	-1.000	229.080	-1.000	-1.000	-1.000	-1.000	110736021341.294	65.615
30	-1.000	300.500	-1.000	-1.000	-1.000	-1.000	110736021273.823	131.496
31	-1.000	224.320	-1.000	-1.000	-1.000	-1.000	110736020676.350	48.268
32	-1.000	218.940	-1.000	-1.000	-1.000	-1.000	110736021091.210	86.086
33	-1.000	299.480	-1.000	-1.000	-1.000	-1.000	110736021002.811	176.525
34	-1.000	291.120	-1.000	-1.000	-1.000	-1.000	110736020644.256	139.515
35	-1.000	323.040	-1.000	-1.000	-1.000	-1.000	110736021052.007	164.252
36	-1.000	356.140	-1.000	-1.000	-1.000	-1.000	110736020885.603	193.861
37	-1.000	234.440	-1.000	-1.000	-1.000	-1.000	110736020689.947	76.087
38	-1.000	392.380	-1.000	-1.000	-1.000	-1.000	110736020611.022	371.045
39	-1.000	275.620	-1.000	-1.000	-1.000	-1.000	110736020237.491	73.969
40	-1.000	307.820	-1.000	-1.000	-1.000	-1.000	110736020161.148	159.226
41	-1.000	280.920	-1.000	-1.000	-1.000	-1.000	110736019999.719	105.447
42	-1.000	296.080	-1.000	-1.000	-1.000	-1.000	110736019159.217	176.507
43	-1.000	260.420	-1.000	-1.000	-1.000	-1.000	110736019713.411	156.920
44	-1.000	236.820	-1.000	-1.000	-1.000	-1.000	110736019554.804	76.615
45	-1.000	298.700	-1.000	-1.000	-1.000	-1.000	110736019476.443	147.635
46	-1.000	250.020	-1.000	-1.000	-1.000	-1.000	110736019326.916	97.127
47	-1.000	335.180	-1.000	-1.000	-1.000	-1.000	110736019891.402	301.249
48	-1.000	305.940	-1.000	-1.000	-1.000	-1.000	110736019633.617	158.419
49	-1.000	295.400	-1.000	-1.000	-1.000	-1.000	110736019713.983	124.638
50	-1.000	248.120	-1.000	-1.000	-1.000	-1.000	110736019371.669	149.191
51	-1.000	273.380	-1.000	-1.000	-1.000	-1.000	110736017926.076	106.094
52	-1.000	358.960	-1.000	-1.000	-1.000	-1.000	110736018418.176	195.578
53	-1.000	298.480	-1.000	-1.000	-1.000	-1.000	110736019172.704	167.693
54	-1.000	251.780	-1.000	-1.000	-1.000	-1.000	110736019003.130	114.385
55	-1.000	297.700	-1.000	-1.000	-1.000	-1.000	110736017951.323	158.539
56	-1.000	329.400	-1.000	-1.000	-1.000	-1.000	110736018725.610	286.541
57	-1.000	275.120	-1.000	-1.000	-1.000	-1.000	110736018194.431	159.350
58	-1.000	342.640	-1.000	-1.000	-1.000	-1.000	110736018032.637	271.691
59	-1.000	309.180	-1.000	-1.000	-1.000	-1.000	110736017758.368	127.902
60	-1.000	325.500	-1.000	-1.000	-1.000	-1.000	110736017627.837	185.061
61	-1.000	230.940	-1.000	-1.000	-1.000	-1.000	110736017440.512	73.815
62	-1.000	247.300	-1.000	-1.000	-1.000	-1.000	110736017364.547	106.215
63	-1.000	289.340	-1.000	-1.000	-1.000	-1.000	110736017256.427	98.254
64	-1.000	276.320	-1.000	-1.000	-1.000	-1.000	110736017156.379	121.110
65	-1.000	244.640	-1.000	-1.000	-1.000	-1.000	110736017033.603	92.048
66	-1.000	232.900	-1.000	-1.000	-1.000	-1.000	110736016940.029	98.366
67	-1.000	406.460	-1.000	-1.000	-1.000	-1.000	110736016838.829	267.541
68	-1.000	290.040	-1.000	-1.000	-1.000	-1.000	110736016568.656	122.917
69	-1.000	225.660	-1.000	-1.000	-1.000	-1.000	110736016076.162	71.954
70	-1.000	273.820	-1.000	-1.000	-1.000	-1.000	110736016370.431	156.071
71	-1.000	214.720	-1.000	-1.000	-1.000	-1.000	110736017506.792	72.072
72	-1.000	246.260	-1.000	-1.000	-1.000	-1.000	110736015717.131	84.959
73	-1.000	328.140	-1.000	-1.000	-1.000	-1.000	110736015498.867	180.973
74	-1.000	307.340	-1.000	-1.000	-1.000	-1.000	110736015315.694	203.414
75	-1.000	276.220	-1.000	-1.000	-1.000	-1.000	110736015108.929	121.390
76	-1.000	288.600	-1.000	-1.000	-1.000	-1.000	110736014985.723	134.116
77	-1.000	247.920	-1.000	-1.000	-1.000	-1.000	110736014834.439	99.410
78	-1.000	271.880	-1.000	-1.000	-1.000	-1.000	110736016626.846	117.594
79	-1.000	316.120	-1.000	-1.000	-1.000	-1.000	110736014808.415	208.275
80	-1.000	266.320	-1.000	-1.000	-1.000	-1.000	110736016176.182	197.857
81	-1.000	213.280	-1.000	-1.000	-1.000	-1.000	110736015869.338	57.493
82	-1.000	248.340	-1.000	-1.000	-1.000	-1.000	110736015810.419	60.043
83	-1.000	288.240	-1.000	-1.000	-1.000	-1.000	110736014142.176	147.913
84	-1.000	336.500	-1.000	-1.000	-1.000	-1.000	110736015620.742	213.186
85	-1.000	253.060	-1.000	-1.000	-1.000	-1.000	110736015370.846	135.223
86	-1.000	374.240	-1.000	-1.000	-1.000	-1.000	110736015306.793	308.175
87	-1.000	338.100	-1.000	-1.000	-1.000	-1.000	110736015094.554	228.630
88	-1.000	310.100	-1.000	-1.000	-1.000	-1.000	110736014833.639	272.168
89	-1.000	307.880	-1.000	-1.000	-1.000	-1.000	110736014589.015	151.239
90	-1.000	272.180	-1.000	-1.000	-1.000	-1.000	110736014405.800	125.340
91	-1.000	250.020	-1.000	-1.000	-1.000	-1.000	110736013577.899	131.956
92	-1.000	383.840	-1.000	-1.000	-1.000	-1.000	110736013443.341	211.252
93	-1.000	284.440	-1.000	-1.000	-1.000	-1.000	110736013229.873	140.533
94	-1.000	342.180	-1.000	-1.000	-1.000	-1.000	110736013086.497	209.355
95	-1.000	292.340	-1.000	-1.000	-1.000	-1.000	110736012874.925	130.118
96	-1.000	231.580	-1.000	-1.000	-1.000	-1.000	110736012743.097	91.793
97	-1.000	252.240	-1.000	-1.000	-1.000	-1.000	110736012649.427	148.941
98	-1.000	396.060	-1.000	-1.000	-1.000	-1.000	110736012497.783	280.444
99	-1.000	244.120	-1.000	-1.000	-1.000	-1.000	110736012215.015	81.016
